,분류,공연/행사명,날짜/시간,장소,이용대상,이용요금,홈페이지?주소,대표이미지,유무료
0,전시/미술,K-핸드메이드페어 2025,2025-12-18~2025-12-21,서울 삼성동 코엑스 1층  B홀,누구나,"사전 예매가: 8,000원, 현장 구매가: 10,000원",https://k-handmade.com/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=42afe00583eb4b0983dba37a04a41222&thumb=Y,유료
1,축제-문화/예술,2025 금천하모니축제,2025-10-18~2025-10-19,"금천구청광장, 안양천다목적광장, 금천구 전역",누구나,,https://www.instagram.com/geumcheon_harmony/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=520ec510b1db4ca6976e8f87402fd6d1&thumb=Y,무료
2,축제-문화/예술,2025 서울라이트 한강 빛섬축제,2025-10-03~2025-10-12,뚝섬 한강공원,누구나,,https://bitseomfestival.com/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b13d2032bec441088ab18e1f0164eaa6&thumb=Y,무료
3,축제-문화/예술,[광진문화재단] 제4회 2025 나루 스트릿 댄스 페스티벌,2025-09-20~2025-09-20,나루아트센터 야외광장,전체관람,,https://www.naruart.or.kr/exhibition/program_view.php?page=1&sch_tab=date&sch_year=2025&sch_month=09&idx=10111,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a3ab97a289ab44eba250ef33e4314175&thumb=Y,무료
4,전시/미술,2025 핸드아티코리아,2025-08-07~2025-08-10,코엑스전시장 C홀,누구나,"일반 (2006년생 이상): 12,000 / 청소년 (2018 - 07년생): 6,000원",https://handarty.co.kr/coex/exhibition/handartykorea/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=39c8b53e2d9e4eac963dc0497f57afed&thumb=Y,유료
5,전시/미술,서울일러스트레이션페어 V.19,2025-07-24~2025-07-27,코엑스 C홀,누구나,"성인: 15,000원 / 청소년 : 9,000원",https://seoulillustrationfair.co.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d206651883046d382fdde994dc9313b&thumb=Y,유료
6,클래식,[전문연주자시리즈] 강동엽 비올라 독주회,2025-06-30~2025-06-30,영산아트홀,초등학생 이상 관람가,"전석 30,000원",https://www.youngsanarthall.com/rb/?m=schedulearthall&front=view&no=9035&cate=1&year=2025&month=6,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f3b83d9ecdfe4cc2bd7e516054800d8d&thumb=Y,유료
7,독주/독창회,정진우 바이올린 독주회 ,2025-06-29~2025-06-29,금호아트홀 연세 ,미취학 입장 불가 ,"전석 20,000원 (학생 50%할인)",http://withclassic.kr/product/view.html?pid=13&cate1=94&cate2=97&no=419,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dee5cb007cd14a279d9f98906c04b2b5&thumb=Y,유료
8,클래식,카이로스 앙상블 제3회 정기연주회,2025-06-27~2025-06-27,세종문화회관 체임버홀 ,초등학생 이상,"일반석 20,000원(학생 10,000원)",https://blog.naver.com/clara32/223841325435,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=562b643f372e4feba7e2767a51a90b4e&thumb=Y,유료
9,교육/체험,[중랑구립정보도서관] 중랑 이음:인문학 6월 이낙준의사 [대한민국 의학의 역사],2025-06-27~2025-06-27,중랑구립정보도서관 4층 강당,서울시민 누구나,"5,000원",https://www.jungnanglib.seoul.kr/jnlib/menu/10204/bbs/20005/bbsPostDetail.do?postIdx=158675,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e2bb7150407946f9ab2d96ee5af1306a&thumb=Y,유료
10,클래식,[동대문문화재단] 2025 기획공연 와인et멜로디 vol.3 김유진,2025-06-27~2025-06-27,선농단역사문화관 문화중정,성인,"전석 30,000원(동대문구민 50% 할인)",https://ddmac.or.kr/sub09/sub01.php?type=view&uid=8420,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fd03730b20c74667b68b5cb5cf1a7961&thumb=Y,유료
11,연극,[서울생활문화센터 서교] 소셜드라마클럽 입체낭독극 [콘센트],2025-06-27~2025-06-27,서교스퀘어 (서울 마포구 서교동 494),누구나,,https://seogyocenter.or.kr/programall/?idx=535,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e243d48c2f0a4491ba4454485e568f94&thumb=Y,무료
12,독주/독창회,김정현 플루트 독주회 ,2025-06-25~2025-06-25,세종문화회관 체임버홀,초등학생 이상,"전석 20,000원",https://blog.naver.com/clara32/223841207678,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5be2049727744e14a4e7c0c4ab2acc65&thumb=Y,유료
13,교육/체험,[서울시립 북서울미술관] 해커톤 프로젝트 [동시대 회화 진단],2025-06-20~2025-06-20,서울시립 북서울미술관 B1 스튜디오2,성인,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1401025,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d659b34aa98f4c71b233e8d5d021d914&thumb=Y,무료
14,클래식,하나은행과 함께하는 함신익과 심포니 송 마스터즈 시리즈 VI [영웅들을 추모하며],2025-06-20~2025-06-20,롯데콘서트홀,누구나,"VIP석 12만원, R석 10만원, S석 7만원, A석 5만원, B석 3만원, C석 2만원 ",https://www.lotteconcerthall.com/kor/Performance/ConcertDetails/260613,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b1d3612685084b6f85737c89ddeb37ef&thumb=Y,무료
15,무용,[마포문화재단] 2025 M발레시리즈 해설이 있는 발레 [Ballet Plus-낭만발레로의 초대],2025-06-19~2025-06-19,마포아트센터 아트홀맥,만 5세 이상 관람가,"전석 10,000원",https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2494&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=99ce5539d15f4cf686fbe51c3d503179&thumb=Y,유료
16,교육/체험,[세종예술아카데미] 퇴근길 미술 한 잔 : 모네에서 앤디워홀까지,2025-06-18~2025-07-09,세종예술아카데미  서클홀,관심있는 누구나,"120,000원",https://www.sejongpac.or.kr/portal/academy/academyProgram/view.do?courseCd=CS102103250230000007&menuNo=200560&searchYear=2025&listType=1&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=175257e9110e437496096a558714901a&thumb=Y,유료
17,교육/체험,[동대문문화재단] 체인지어스 종이팩으로 환경을 체인지,2025-06-18~2025-06-18,장안어린이도서관 3층 강의실,초등 1~3학년,,https://www.ddmac.or.kr/sub09/sub03.php?type=view&uid=8514,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f66c479a1c714c2585a7ddfb9d3faa80&thumb=Y,무료
18,뮤지컬/오페라,[중구문화재단] 뮤지컬 [멤피스],2025-06-17~2025-09-21,충무아트센터 대극장,14세 이상 관람가(2012년 포함 이전 출생자)," VIP석 170,000원 / R석 140,000원 / S석 110,000원 / A석 80,000원",https://www.caci.or.kr/product/ko/performance/2479,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4ad76aba1dd4462fab0a4ad5c28ef565&thumb=Y,유료
19,축제-전통/역사,[도봉문화원] 제5회 도봉옛길 문화제 [어? 흥(興)!],2025-06-16~2025-06-21,평화울림터(평화문화진지) ,누구나,,https://www.dobong.or.kr/main/main.php?categoryid=06&menuid=01&groupid=00&board=view&no=3229,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e07377fc13344a9c9f1022cd22e8214b&thumb=Y,무료
20,교육/체험,"[동대문문화재단] 시니어 인생 E막, AI와 함께하는 일상",2025-06-15~2025-07-06,답십리영화미디어아트센터 3층 미디어교육실,시니어,,https://dsnfilmart.or.kr/edu/program.php?type=view&programID=1208,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4295cbecb5f342059f8d97858d44cbf0&thumb=Y,무료
21,무용,[어린이 무용 예술교육 프로그램] 꿈틀꿈틀 움직임 놀이터,2025-06-14~2025-07-05,"뮤즈홀(강남구 논현로 28길 4, 지층)",어린이,"4회차 120,000원 ",https://www.instagram.com/p/DJGKSd3JvLs/?igsh=MWE0eTN6bzg1M2N3aA==,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=be413b1fdf6a46028fdb6a2a7b6490f9&thumb=Y,유료
22,축제-문화/예술,우이천변 페스타2025 [우이별곡],2025-06-13~2025-06-15,강북구 우이천 번창교 일대,누구나,,https://www.gangbuk.go.kr/portal/bbs/B0000127/view.do?menuNo=200127&nttId=80741,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4bed83a3d2ca405f802476980c9b46d9&thumb=Y,무료
23,클래식,[세종문화회관] 시詩가 있는 무대臺 [가곡시대],2025-06-13~2025-06-14,세종문화회관 세종체임버홀,2018년 이전 출생자 관람 가능 (2018년생 포함),"R석 40,000원 S석 30,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=35916&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5372753d74594dfc8dcd65e0edf40a83&thumb=Y,유료
24,클래식,박재준 바이올린 독주회,2025-06-13~2025-06-13,예술의전당 리사이틀홀,초등학생 이상,"일반석 30,000원",https://blog.naver.com/clara32/223824622630,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=089675deff1b40fcab7d47d4d096657b&thumb=Y,유료
25,교육/체험,2025 크리에이티브 디렉터 세미나(06.11 WED),2025-06-11~2025-06-11,포스코타워 역삼 이벤트홀 ,누구나,"150,000원",https://www.kipfa.or.kr/Seminar/SeminarReView.aspx?eduSeqNo=1468,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cd8deffe01b34abd94e88d8202393537&thumb=Y,유료
26,클래식,블리스 앙상블의 [Moments of Love] with Piccoloist 김원미,2025-06-11~2025-06-11,세종문화회관 세종체임버홀,7세 이상 관람 가능 (2018년 이전 출생자),"전석 20,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=36265&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4775e9e2f9ba422ea743fd1181eac52d&thumb=Y,유료
27,클래식,배자희 피아노 독주회,2025-06-10~2025-06-10,세종문화회관 체임버홀,초등학생 이상,"전석 20,000원",https://blog.naver.com/clara32/223838745533,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4581021556a240db83a82c4a5a6aa0e6&thumb=Y,유료
28,국악,[서울남산국악당] 운초 김은희의 춤_일무지관(一舞之貫),2025-06-08~2025-06-08,서울남산국악당 크라운해태홀,만 7세(초등학생) 이상,"전석 50,000원",https://www.hanokmaeul.or.kr/ko/g/perf/%EA%B3%B5%EB%8F%99%EA%B8%B0%ED%9A%8D-%EC%9A%B4%EC%B4%88-%EA%B9%80%EC%9D%80%ED%9D%AC%EC%9D%98-%EC%B6%A4_%EC%9D%BC%EB%AC%B4%EC%A7%80%EA%B4%80%E4%B8%80%E8%88%9E%E4%B9%8B%E8%B2%AB,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=79918df857834583ad8d715f6dc9289f&thumb=Y,유료
29,교육/체험,[서초문화재단] 22025 국악기 탐구생활 - 6월 프로그램,2025-06-07~2025-06-28,서리풀아트스튜디오 및 국립국악원,서초구 및 서울시 타 자치구 초등학교 3학년-6학년 재학생 및 보호자 (2인 1팀),,https://seoripulac.or.kr/modules/board/bd_view.html?no=105&id=notice&mc_code=1310&or=bd_order&al=asc,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=65d385a05ab34ad0be3510e07e3b1f50&thumb=Y,무료
30,콘서트,퓨전국악의 선두주자 고스트윈드 : 4집 쇼케이스,2025-06-07~2025-06-07, KT&G 상상마당 라이브홀,누구나,"예매 40,000원 / 현매 50,000원",https://www.sangsangmadang.com/show/detail/2864,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6d83d29b1d2d42a8b5e630cfd76669e8&thumb=Y,유료
31,독주/독창회,이영현 바이올린 독주회,2025-06-07~2025-06-07,금호아트홀 연세,초등학생 이상,"전석 20,000원",https://blog.naver.com/clara32/223844722216,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cd05683cd4884f219a7a00f9ac89db6f&thumb=Y,유료
32,독주/독창회,남아연 귀국 첼로 독주회,2025-06-07~2025-06-07,예술의전당 리사이틀홀,초등학생 이상,"일반석 20,000원",https://blog.naver.com/clara32/223846118994,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b86447abca5a4e39938dcdab28cd84ec&thumb=Y,유료
33,클래식,제9회 오벌린 동문음악회 ,2025-06-07~2025-06-07,세종문화회관 체임버홀,초등학생 이상,"전석 30,000원",https://blog.naver.com/clara32/223848741933,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a0b65d7809ac4adfa12e81ef775e75f8&thumb=Y,유료
34,교육/체험,[동대문문화재단] 4인 4색 작가 만남 [이수애 작가],2025-06-07~2025-06-07,이문어린이도서관 1층 열람실,초등 1~3학년,,https://www.l4d.or.kr/imc/index.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=08e6c61286d04e4da024a4ceb67e68b6&thumb=Y,무료
35,연극,[중구문화재단] 연극 [킬 미 나우],2025-06-06~2025-08-17,충무아트센터,15세 이상 관람가(2011년생 포함 이전 출생자),"R석 66,000원 / S석 44,000원",https://www.caci.or.kr/product/ko/performance/2480,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=907944d0ba924ccba1f0308ba7c90cde&thumb=Y,유료
36,무용,[구로문화재단] 헨젤과 그레텔,2025-06-06~2025-06-07,구로아트밸리 예술극장,48개월 이상 관람가,"R석 60,000원, S석 40,000원",https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3837&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=730b8f61f7344d0d9e3b8aeed142e104&thumb=Y,유료
37,클래식,본 솔로이스츠 제6회 정기연주회,2025-06-06~2025-06-06,예술의전당 IBK기업은행챔버홀,초등학생 이상,"일반석 30,000원",https://blog.naver.com/clara32/223827240353,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=23c367cd36cd4510843ff219875c7093&thumb=Y,유료
38,국악,[서울돈화문국악당] 2025 국악플러그인(Gugak Plug-in),2025-06-06~2025-06-06,서울돈화문국악당,7세 이상,,https://sdtt.or.kr/user/program/2025/6/1702,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c954b34be0f54476b825f8a369f60824&thumb=Y,무료
39,교육/체험,[마포구립서강도서관] 6월/읽는 인간 호모부커스 [II. 테드 창 작품 읽기],2025-06-05~2025-06-26,마포구립서강도서관 3층 세미나실,일반 20명,,https://mplib.mapo.go.kr/sglib/MENU1200/PGM3021/lectureDetail.do?currentPageNo=1&lectureId=LEC0013202,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b619c77d2fe44427a2282368fb87adfb&thumb=Y,무료
40,축제-문화/예술,2025 국악의 날 지정 축하공연 [정오의 연희 콘서트],2025-06-05~2025-06-19,국악방송 앞 상암 DMC 문화거리   ,누구나,무료,https://blog.naver.com/the_gwangdae/223849980411,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c7b36c7686724f63bf8beb8391393598&thumb=Y,무료
41,독주/독창회,고수경 귀국 바순 독주회,2025-06-05~2025-06-05,세종체임버홀,6세 이상 관람 가능,"전석 20,000원",https://www.sejongpac.or.kr/eng/performance/engperformance/performTicket.do?performIdx=36250&menuNo=700007,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=15ae67da441043f1aeafe296717a4ad4&thumb=Y,유료
42,독주/독창회,소프라노 조정희 독창회,2025-06-05~2025-06-05,영산아트홀,초등학생 이상,"전석 20,000원",https://blog.naver.com/clara32/223860164911,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cfa24e8bdec64adba3d88caed8d7ae5c&thumb=Y,유료
43,클래식,바쓰만 콰르텟 정기연주회,2025-06-05~2025-06-05,예술의전당 IBK기업은행 챔버홀,미취학 입장불가 ,"전석  30,000원 (학생 50%할인)",https://blog.naver.com/tin6368/223853262050,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cc94ceea04134a978fdfdc19f67b5801&thumb=Y,유료
44,클래식,[강남문화재단] 제174회 강남마티네콘서트│피아니스트 김정원과 함께하는 아침의 음악정원[고전적 아침],2025-06-05~2025-06-05,광림아트센터 장천홀,8세 이상,"전석 15,000원",https://www.gangnam.go.kr/office/gfac/board/gfac_perform06/176/view.do?mid=gfac_perform0103,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=10e52b0bbf79481cbe61f4200b9025ab&thumb=Y,유료
45,교육/체험,[서울생활사박물관] 2025년 박물관에서 열린 청소년 생활법정(중?고등학교 단체),2025-06-04~2025-11-26,서울생활사박물관,중?고등학교 학급 및 동아리 단체,,https://museum.seoul.go.kr/sulm/board/NR_boardList.do?bbsCd=1005,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6719f511230d43568d3a5779480d1921&thumb=Y,무료
46,독주/독창회,김승미 피아노 독주회,2025-06-04~2025-06-04,예술의전당 인춘아트홀,초등학생 이상,"일반석 20,000원",https://blog.naver.com/clara32/223848561600,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6a026d2187134ce7ad3759161e10dbf0&thumb=Y,유료
47,교육/체험,[서울시립과학관] 2025 과학테마교실,2025-06-03~2025-12-05,서울시립과학관 1~4교육실,중~고등학교 단체(10~20명),강좌당 25만원,https://science.seoul.go.kr/program/science/read?menuId=14&progMstId=1079,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=07b6a93cd43d4d988279961391560869&thumb=Y,유료
48,교육/체험,[서울돈화문국악당] 투어 프로그램 [돈화문 샅샅] 6월,2025-06-02~2025-06-30,서울돈화문국악당,전체관람가,,https://sdtt.or.kr/user/program/2025/6/1700,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e203277a77644243ab9171ef13bc3104&thumb=Y,무료
49,클래식,2025 서울시향 작은 음악회,2025-06-02~2025-06-02,고려대학교 안암병원 A관 2층 로비,시민 누구나,,https://www.seoulphil.or.kr/perf/view?perfNo=6889&calendarDate=2025/06/01&langCd=ko&menuFlag=MFLG0001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=45a79d1d73d7486dbbef3a88f0a77b3c&thumb=Y,무료
50,독주/독창회,현유라 바이올린 독주회,2025-06-02~2025-06-02,세종문화회관 체임버홀,초등학생 이상,"전석 20,000원 (학생할인 50%)",https://blog.naver.com/clara32/223838822995,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b3934ab8ccf54d96b47e44ee3b3e92e4&thumb=Y,유료
51,교육/체험,[서울무형유산교육전시장] 2025년 2차 일반교육 모집안내,2025-06-01~2025-08-29,서울무형유산교육전시장,성인,개별 상이,http://www.seoulmaster.co.kr/bbs/board.php?bo_table=bbs1&wr_id=190,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e87428daffaf4ee8ac38f22ccd4ef75b&thumb=Y,유료
52,교육/체험,[동대문문화재단] 다문화 그림책 여행,2025-06-01~2025-07-27,제기동감초마을현진건기념도서관 5층 프로그램실,초등 1~2학년,,https://www.l4d.or.kr/jghl/20004/bbsPostDetail.do?postIdx=36550,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6b7474b4172c4e878426f07acfb9977d&thumb=Y,무료
53,뮤지컬/오페라,제 3회 광화문광장 야외오페라 마술피리,2025-06-01~2025-06-02,광화문 광장,전연령 관람 가능,,https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=36237&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bd1543daa4f1481b8e26053a17d4b38e&thumb=Y,무료
54,독주/독창회,장희재 비올라 독주회,2025-06-01~2025-06-01,예술의전당 리사이틀홀 ,초등학생 이상,"일반석 20,000원 (학생 10,000원)",https://blog.naver.com/clara32/223838901278,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3c20f16797a342e0a481c38e750c98bc&thumb=Y,유료
55,독주/독창회,박미희 바이올린 독주회 [Johannes Brahms],2025-06-01~2025-06-01,예술의전당 리사이틀홀,초등학생 이상,"일반석 20,000원",https://blog.naver.com/clara32/223848900361,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=924e350ecdb24e90971983e5b0031675&thumb=Y,유료
56,뮤지컬/오페라,뮤지컬 [팬텀] 10주년 기념 공연,2025-05-31~2025-08-11,세종대극장,8세 이상 관람 가능 (2018년 이전 출생자),"VIP석 170,000원 R석 140,000원 S석 110,000원 A석 90,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=36148&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e0dd6d1c2987456ea0ee38dd83141f8b&thumb=Y,유료
57,연극,연극 [더 나은 휴머니티],2025-05-31~2025-06-01,"소극장 공유, 서울특별시 종로구 창경궁로 303",만 7세 이상 누구나,"전석 20,000원 (조기 예매시 40% 할인 - 기간 2025.4.25~5월 13일)",https://tickets.interpark.com/goods/25006048,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1900c9996d864aa8b012de724136c772&thumb=Y,유료
58,클래식,[2025 클래식다방 - 아리스타인아트홀] 고전적 낭만의 봄날,2025-05-31~2025-05-31,아리스타인 아트홀,초등학생 이상,"전석 14,000원 / 서초구민 7,000원",https://seoripulac.or.kr/modules/board/bd_view.html?no=238&id=program&mc_code=1110&or=bd_order&al=asc,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1782f1a2ebcb499c9d9b4e8cda63a234&thumb=Y,유료
59,국악,[구로문화재단] 이희문 트리오 [5월의 국악],2025-05-31~2025-05-31,구로아트밸리 예술극장,7세이상 관람가,"전석 10,000원",https://www.guroartsvalley.or.kr/user/performance/performanceView.do?performanceSeq=3839&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=89c511f56fc64dec8aeb701f2a78006d&thumb=Y,유료
60,축제-문화/예술,[종로문화재단] 2025 종로구 생활문화축제 [종로랑 가족이랑],2025-05-31~2025-05-31,마로니에 공원 일대,누구나,무료,https://blog.naver.com/jn_jfac/223849858425,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=934a5d78d4e04e4f8010447d5be516fc&thumb=Y,무료
61,교육/체험,[서울시립 사진미술관] 《스토리지 스토리》 전시 연계 프로그램 [관계자가 들려주는 이야기],2025-05-31~2025-05-31,서울시립 사진미술관 4층 1교육실,청소년 성인,,https://sema.seoul.go.kr/kr/whatson/event/detail?evtNo=1401844,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=573eb668443747338c4971dc07dcbe06&thumb=Y,무료
